,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.857143,0.555556,0.271,0.281,0.62,0,0.4,0.6,0,0.227273,0.526316,0.4,0.166667,0,0.222222,0.928571,0.466667,0.354,0.311,0.53,0.139,0.52,0.6,0,0.0909091,0.105263,0.3,0.0833333,0,0.444444
1,0.904762,0.377778,0.209,0.268,0.46,0.179,0.21,0.5,0,0,0.210526,0,0.25,0.142857,0,0.904762,0.511111,0.372,0.265,0.55,0.223,0.48,0.46,0,0.954545,0.0526316,0.3,0.416667,0.428571,0.333333
2,0.880952,0.333333,0.318,0.301,0.54,0,0.43,0.58,0,0.0454545,0.684211,0.1,0.333333,0.428571,0.111111,0.809524,0.355556,0.629,0.381,0.59,0.305,0.39,0.5,0,0.0454545,0,0.2,0.166667,0,0
3,0.928571,0.311111,0.298,0.167,0.52,0.268,0.3,0.4,0,0,0,0,0,0,0,0.869048,0.333333,0.387,0.213,0.41,0.255,0.36,0,0,0,0,0,0,0,0
4,0.869048,0.355556,0.256,0.424,0.49,0.148,0.28,0.81,0,0,0.105263,0,0,0,0.222222,0.857143,0.177778,0.167,0.333,0.37,0,0.57,0,0,0,0,0,0,0,0
5,0.869048,0.4,0.457,0.415,0.61,0.118,0.18,0.46,0,0.0909091,0.105263,0.3,0.0833333,0.142857,0.222222,0.857143,0.488889,0.238,0.343,0.62,0.122,0.4,0.75,0,0.0454545,0.157895,0.2,0.166667,0,0.222222
6,0.833333,0.333333,0.433,0.213,0.54,0,1,0.6,0,0,0,0.1,0,0,0,0.857143,0.2,0.308,0.326,0.59,0.177,0.63,0.75,0,0.0454545,0,0.2,0.0833333,0,0
7,0.833333,0.577778,0.316,0.242,0.61,0.109,0.45,0.63,0,0.181818,0.105263,0.6,0,0.285714,0.444444,0.845238,0.4,0.511,0.387,0.62,0.103,0.25,0.75,0,0.0454545,0.157895,0.3,0.0833333,0.142857,0.222222
8,0.928571,0.311111,0.348,0.256,0.55,0.085,0.41,0.77,0,0.0909091,0.0526316,0.2,0.0833333,0.142857,0.111111,0.857143,0.288889,0.316,0.375,0.51,0.106,0.44,0.8,0,0.0909091,0.157895,0.2,0.0833333,0,0.222222
9,0.833333,0.377778,0.378,0.383,0.58,0.146,0.45,0.91,0,0.0909091,0.263158,0.4,0.25,0,0.333333,0.809524,0.422222,0.377,0.454,0.57,0.078,0.5,0.6,0,0.0454545,0,0.2,0.0833333,0.142857,0.111111
