Name,f,Unnamed: 0,Name,Record,Height,Weight,Reach,Stance,DoB,SLpM,Str Acc,SApM,Str Def,TD Avg,TD Acc,TD Def,Sub Avg,MMA Record,KO/TKO Wins,SUB Wins,U-DEC Wins,M-DEC Wins,S-DEC Wins,KO/TKO Losses,SUB Losses,U-DEC Losses,M-DEC Losses,S-DEC Losses,Total Draws,Total NCs,Age
Juan Adams,11,11,Juan Adams,5/2/00,"6'5""",265lbs.,0.9523809523809523,Orthodox,"Jan16,1992",0.732,0.55,0.0,0.34,0.097,0.66,0.57,0.0,"[('Greg Hardy', 'loss', 'KO/TKOPunches'), ('Arjan Bhullar', 'loss', 'U-DEC'), ('Chris de la Rocha', 'win', 'KO/TKOKnee')]",0.045454545454545456,0.0,0.0,0,0,0.08333333333333333,0.0,0.1111111111111111,0,0,0,0,0.26666666666666666
Anthony Adams,12,12,Anthony Adams,7/1/00,"6'0""",185lbs.,0.9166666666666666,Orthodox,"Jan13,1988",0.0,0.47,0.0,0.44,0.0,0.0,0.0,0.0,[],0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.35555555555555557
Israel Adesanya,13,13,Israel Adesanya,18-0-0,"6'4""",185lbs.,0.9523809523809523,Switch,"Jul22,1989",0.446,0.5,0.0,0.66,0.0,0.0,0.85,0.0,"[('Robert Whittaker', 'win', 'KO/TKOPunch'), ('Kelvin Gastelum', 'win', 'U-DEC'), ('Anderson Silva', 'win', 'U-DEC'), ('Derek Brunson', 'win', 'KO/TKOPunches'), ('Brad Tavares', 'win', 'U-DEC'), ('Marvin Vettori', 'win', 'S-DEC'), ('Rob Wilkinson', 'win', 'KO/TKOPunches')]",0.13636363636363635,0.0,0.3,0,1,0.0,0.0,0.0,0,0,0,0,0.3333333333333333
Sam Adkins,14,14,Sam Adkins,7/20/02,"6'3""",225lbs.,0.0,Orthodox,"Apr26,1965",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[('David Abbott', 'loss', 'SUBForearmChoke'), ('Felix Lee Mitchell', 'win', 'U-DEC'), ('Keith Mielke', 'win', 'KO/TKOPunches'), ('Don Frye', 'loss', 'KO/TKO')]",0.045454545454545456,0.0,0.1,0,0,0.08333333333333333,0.14285714285714285,0.0,0,0,0,0,0.8666666666666667
Nick Agallar,15,15,Nick Agallar,24-6-0,"5'8""",155lbs.,0.0,Orthodox,"Jan13,1979",0.06899999999999999,0.11,0.45599999999999996,0.42,0.0,0.0,0.0,0.0,"[('Yves Edwards', 'loss', 'KO/TKOPunch')]",0.0,0.0,0.0,0,0,0.08333333333333333,0.0,0.0,0,0,0,0,0.5555555555555556
Mariya Agapova,16,16,Mariya Agapova,6/1/00,"5'8""",125lbs.,0.0,Southpaw,"Apr07,1997",0.0,0.48,0.0,0.47,0.0,0.0,0.42,0.0,[],0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.15555555555555556
Marcelo Aguiar,17,17,Marcelo Aguiar,2/3/01,"5'10""",170lbs.,0.0,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[('Matt Hughes', 'loss', 'KO/TKO')]",0.0,0.0,0.0,0,0,0.08333333333333333,0.0,0.0,0,0,0,0,0.0
Edwin Aguilar,18,18,Edwin Aguilar,22-16-0 (1 NC),"5'10""",185lbs.,0.0,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[('Martin Kampmann', 'loss', 'KO/TKO')]",0.0,0.0,0.0,0,0,0.08333333333333333,0.0,0.0,0,0,0,0,0.0
Jessica Aguilar,19,19,Jessica Aguilar,20-8-0,"5'3""",115lbs.,0.75,Orthodox,"May08,1982",0.493,0.5,0.7190000000000001,0.53,0.094,0.25,0.5,0.0,"[('Marina Rodriguez', 'loss', 'U-DEC'), ('Weili Zhang', 'loss', 'SUBArmbar'), ('Jodie Esquibel', 'win', 'U-DEC'), ('Cortney Casey', 'loss', 'U-DEC'), ('Claudia Gadelha', 'loss', 'U-DEC')]",0.0,0.0,0.1,0,0,0.0,0.14285714285714285,0.3333333333333333,0,0,0,0,0.4888888888888889
Kevin Aguilar,20,20,Kevin Aguilar,17-2-0,"5'7""",145lbs.,0.8690476190476191,Orthodox,"Sep07,1988",0.378,0.36,0.422,0.54,0.025,0.5,0.86,0.0,"[('Dan Ige', 'loss', 'U-DEC'), ('Enrique Barzola', 'win', 'U-DEC'), ('Rick Glenn', 'win', 'U-DEC')]",0.0,0.0,0.2,0,0,0.0,0.0,0.1111111111111111,0,0,0,0,0.35555555555555557
