,Title,Date,Location,Fights,Winners,Methods,Rounds,Times
57,UFC 226: Miocic vs. Cormier,"July 07, 2018","Las Vegas, Nevada, USA","['Daniel Cormier vs Stipe Miocic', 'Derrick Lewis vs Francis Ngannou', 'Mike Perry vs Paul Felder', 'Anthony Pettis vs Michael Chiesa', 'Khalil Rountree Jr. vs Gokhan Saki', 'Paulo Costa vs Uriah Hall', 'Raphael Assuncao vs Rob Font', 'Drakkar Klose vs Lando Vannata', 'Curtis Millender vs Max Griffin', 'Dan Hooker vs Gilbert Burns', 'Emily Whitmire vs Jamie Moyle']","['Daniel Cormier', 'Derrick Lewis', 'Mike Perry', 'Anthony Pettis', 'Khalil Rountree Jr.', 'Paulo Costa', 'Raphael Assuncao', 'Drakkar Klose', 'Curtis Millender', 'Dan Hooker', 'Emily Whitmire']","['KO/TKO', 'U-DEC', 'S-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'U-DEC', 'U-DEC', 'U-DEC', 'KO/TKO', 'U-DEC']","['1', '3', '3', '2', '1', '2', '3', '3', '3', '1', '3']","['4:33', '5:00', '5:00', '0:52', '1:36', '2:38', '5:00', '5:00', '5:00', '2:28', '5:00']"
58,UFC - TUF 27 Finale,"July 06, 2018","Las Vegas, Nevada, USA","['Israel Adesanya vs Brad Tavares', 'Michael Trizano vs Joe Giannetti', 'Brad Katona vs Jay Cucciniello', 'Alex Caceres vs Martin Bravo', 'Roxanne Modafferi vs Barb Honchak', 'Alessio Di Chirico vs Julian Marquez', 'Montana De La Rosa vs Rachael Ostovich', 'Luis Pena vs Richie Smullen', 'John Gunther vs Allan Zuniga', 'Bryce Mitchell vs Tyler Diamond', 'Steven Peterson vs Matt Bessette', 'Gerald Meerschaert vs Oskar Piechota']","['Israel Adesanya', 'Michael Trizano', 'Brad Katona', 'Alex Caceres', 'Roxanne Modafferi', 'Alessio Di Chirico', 'Montana De La Rosa', 'Luis Pena', 'John Gunther', 'Bryce Mitchell', 'Steven Peterson', 'Gerald Meerschaert']","['U-DEC', 'S-DEC', 'U-DEC', 'S-DEC', 'KO/TKO', 'S-DEC', 'SUB', 'SUB', 'M-DEC', 'M-DEC', 'S-DEC', 'SUB']","['5', '3', '3', '3', '2', '3', '3', '1', '3', '3', '3', '2']","['5:00', '5:00', '5:00', '5:00', '3:32', '5:00', '4:21', '3:32', '5:00', '5:00', '5:00', '4:55']"
59,UFC Fight Night: Cowboy vs. Edwards,"June 23, 2018","Kallang, Singapore","['Leon Edwards vs Donald Cerrone', 'Ovince Saint Preux vs Tyson Pedro', 'Jessica Eye vs Jessica-Rose Clark', 'Jingliang Li vs Daichi Abe', 'Petr Yan vs Teruto Ishihara', 'Song Yadong vs Felipe Arantes', 'Shane Young vs Rolando Dy', 'Kenan Song vs Hector Aldana', 'Jake Matthews vs Shinsho Anzai', 'Xiaonan Yan vs Viviane Pereira', 'Matt Schnell vs Naoki Inoue', 'Ulka Sasaki vs Jenel Lausa', 'Ji Yeon Kim vs Melinda Fabian']","['Leon Edwards', 'Ovince Saint Preux', 'Jessica Eye', 'Jingliang Li', 'Petr Yan', 'Song Yadong', 'Shane Young', 'Kenan Song', 'Jake Matthews', 'Xiaonan Yan', 'Matt Schnell', 'Ulka Sasaki', 'Ji Yeon Kim']","['U-DEC', 'SUB', 'U-DEC', 'U-DEC', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'U-DEC', 'S-DEC', 'SUB', 'S-DEC']","['5', '1', '3', '3', '1', '2', '2', '2', '1', '3', '3', '2', '3']","['5:00', '2:54', '5:00', '5:00', '3:28', '4:59', '4:40', '4:45', '2:44', '5:00', '5:00', '4:04', '5:00']"
60,UFC 225: Whittaker vs. Romero 2,"June 09, 2018","Chicago, Illinois, USA","['Robert Whittaker vs Yoel Romero', 'Colby Covington vs Rafael Dos Anjos', 'Holly Holm vs Megan Anderson', 'Tai Tuivasa vs Andrei Arlovski', 'Mike Jackson vs CM Punk', 'Curtis Blaydes vs Alistair Overeem', 'Claudia Gadelha vs Carla Esparza', 'Mirsad Bektic vs Ricardo Lamas', 'Chris de la Rocha vs Rashad Coulter', 'Anthony Smith vs Rashad Evans', 'Sergio Pettis vs Joseph Benavidez', 'Charles Oliveira vs Clay Guida', 'Dan Ige vs Mike Santiago']","['Robert Whittaker', 'Colby Covington', 'Holly Holm', 'Tai Tuivasa', 'Mike Jackson', 'Curtis Blaydes', 'Claudia Gadelha', 'Mirsad Bektic', 'Chris de la Rocha', 'Anthony Smith', 'Sergio Pettis', 'Charles Oliveira', 'Dan Ige']","['S-DEC', 'U-DEC', 'U-DEC', 'U-DEC', 'U-DEC', 'KO/TKO', 'S-DEC', 'S-DEC', 'KO/TKO', 'KO/TKO', 'S-DEC', 'SUB', 'KO/TKO']","['5', '5', '3', '3', '3', '3', '3', '3', '2', '1', '3', '1', '1']","['5:00', '5:00', '5:00', '5:00', '5:00', '2:56', '5:00', '5:00', '3:53', '0:53', '5:00', '2:18', '0:50']"
61,UFC Fight Night: Rivera vs. Moraes,"June 01, 2018","Utica, New York, USA","['Marlon Moraes vs Jimmie Rivera', 'Gregor Gillespie vs Vinc Pichel', 'Walt Harris vs Daniel Spitz', 'Ben Saunders vs Jake Ellenberger', 'Julio Arce vs Daniel Teymur', 'Sam Alvey vs Gian Villante', 'Sijara Eubanks vs Lauren Murphy', 'David Teymur vs Nik Lentz', 'Belal Muhammad vs Chance Rencountre', 'Desmond Green vs Gleison Tibau', 'Nathaniel Wood vs Johnny Eduardo', 'Jose Torres vs Jarred Brooks']","['Marlon Moraes', 'Gregor Gillespie', 'Walt Harris', 'Ben Saunders', 'Julio Arce', 'Sam Alvey', 'Sijara Eubanks', 'David Teymur', 'Belal Muhammad', 'Desmond Green', 'Nathaniel Wood', 'Jose Torres']","['KO/TKO', 'SUB', 'KO/TKO', 'KO/TKO', 'SUB', 'S-DEC', 'U-DEC', 'U-DEC', 'U-DEC', 'U-DEC', 'SUB', 'KO/TKO']","['1', '2', '2', '1', '3', '3', '3', '3', '3', '3', '2', '2']","['0:33', '4:06', '4:59', '1:56', '2:55', '5:00', '5:00', '5:00', '5:00', '5:00', '2:18', '2:55']"
62,UFC Fight Night: Thompson vs. Till,"May 27, 2018","Liverpool, England, United Kingdom","['Darren Till vs Stephen Thompson', 'Neil Magny vs Craig White', 'Arnold Allen vs Mads Burnell', 'Makwan Amirkhani vs Jason Knight', 'Claudio Silva vs Nordine Taleb', 'Darren Stewart vs Eric Spicely', 'Tom Breese vs Daniel Kelly', 'Lina Lansberg vs Gina Mazany', 'Carlo Pedersoli vs Bradley Scott', 'Gillian Robertson vs Molly McCann', 'Elias Theodorou vs Trevor Smith']","['Darren Till', 'Neil Magny', 'Arnold Allen', 'Makwan Amirkhani', 'Claudio Silva', 'Darren Stewart', 'Tom Breese', 'Lina Lansberg', 'Carlo Pedersoli', 'Gillian Robertson', 'Elias Theodorou']","['U-DEC', 'KO/TKO', 'SUB', 'S-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'U-DEC', 'S-DEC', 'SUB', 'U-DEC']","['5', '1', '3', '3', '1', '2', '1', '3', '3', '2', '3']","['5:00', '4:32', '2:41', '5:00', '4:31', '1:47', '3:33', '5:00', '5:00', '2:05', '5:00']"
63,UFC Fight Night: Maia vs. Usman,"May 19, 2018","Santiago, Chile","['Kamaru Usman vs Demian Maia', 'Tatiana Suarez vs Alexa Grasso', 'Dominick Reyes vs Jared Cannonier', 'Guido Cannetti vs Diego Rivas', 'Andrea Lee vs Veronica Macedo', 'Vicente Luque vs Chad Laprise', 'Michel Prazeres vs Zak Cummings', 'Alexandre Pantoja vs Brandon Moreno', 'Poliana Botelho vs Syuri Kondo', 'Gabriel Benitez vs Humberto Bandenay', 'Enrique Barzola vs Brandon Davis', 'Frankie Saenz vs Henry Briones', 'Claudio Puelles vs Felipe Silva']","['Kamaru Usman', 'Tatiana Suarez', 'Dominick Reyes', 'Guido Cannetti', 'Andrea Lee', 'Vicente Luque', 'Michel Prazeres', 'Alexandre Pantoja', 'Poliana Botelho', 'Gabriel Benitez', 'Enrique Barzola', 'Frankie Saenz', 'Claudio Puelles']","['U-DEC', 'SUB', 'KO/TKO', 'U-DEC', 'U-DEC', 'KO/TKO', 'S-DEC', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'U-DEC', 'SUB']","['5', '1', '1', '3', '3', '1', '3', '3', '1', '1', '3', '3', '3']","['5:00', '2:44', '2:55', '5:00', '5:00', '4:16', '5:00', '5:00', '0:33', '0:39', '5:00', '5:00', '2:23']"
64,UFC 224: Nunes vs. Pennington,"May 12, 2018","Rio de Janeiro, Rio de Janeiro, Brazil","['Amanda Nunes vs Raquel Pennington', 'Kelvin Gastelum vs Jacare Souza', 'Mackenzie Dern vs Amanda Cooper', 'John Lineker vs Brian Kelleher', 'Lyoto Machida vs Vitor Belfort', 'Cezar Ferreira vs Karl Roberson', 'Aleksei Oleinik vs Junior Albini', 'Davi Ramos vs Nick Hein', 'Elizeu Zaleski dos Santos vs Sean Strickland', 'Warlley Alves vs Sultan Aliev', 'Jack Hermansson vs Thales Leites', 'Ramazan Emeev vs Alberto Mina', 'Markus Perez vs James Bochnovic']","['Amanda Nunes', 'Kelvin Gastelum', 'Mackenzie Dern', 'John Lineker', 'Lyoto Machida', 'Cezar Ferreira', 'Aleksei Oleinik', 'Davi Ramos', 'Elizeu Zaleski dos Santos', 'Warlley Alves', 'Jack Hermansson', 'Ramazan Emeev', 'Markus Perez']","['KO/TKO', 'S-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'SUB', 'SUB', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'U-DEC', 'SUB']","['5', '3', '1', '3', '2', '1', '1', '1', '1', '2', '3', '3', '1']","['2:36', '5:00', '2:27', '3:43', '1:00', '4:45', '1:45', '4:15', '3:40', '5:00', '2:10', '5:00', '4:28']"
65,UFC Fight Night: Barboza vs. Lee,"April 21, 2018","Atlantic City, New Jersey, USA","['Kevin Lee vs Edson Barboza', 'Frankie Edgar vs Cub Swanson', 'Justin Willis vs Chase Sherman', 'David Branch vs Thiago Santos', 'Aljamain Sterling vs Brett Johns', 'Dan Hooker vs Jim Miller', 'Ryan LaFlare vs Alex Garcia', 'Ricky Simon vs Merab Dvalishvili', 'Siyar Bahadurzada vs Luan Chagas', 'Corey Anderson vs Patrick Cummins', 'Anthony Rocco Martin vs Keita Nakamura']","['Kevin Lee', 'Frankie Edgar', 'Justin Willis', 'David Branch', 'Aljamain Sterling', 'Dan Hooker', 'Ryan LaFlare', 'Ricky Simon', 'Siyar Bahadurzada', 'Corey Anderson', 'Anthony Rocco Martin']","['KO/TKO', 'U-DEC', 'U-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'U-DEC']","['5', '3', '3', '1', '3', '1', '3', '3', '2', '3', '3']","['2:18', '5:00', '5:00', '2:30', '5:00', '3:00', '5:00', '5:00', '2:40', '5:00', '5:00']"
66,UFC Fight Night: Poirier vs. Gaethje,"April 14, 2018","Glendale, Arizona, USA","['Dustin Poirier vs Justin Gaethje', 'Alex Oliveira vs Carlos Condit', 'Israel Adesanya vs Marvin Vettori', 'Michelle Waterson vs Cortney Casey', 'Antonio Carlos Junior vs Tim Boetsch', 'Muslim Salikhov vs Ricky Rainey', 'John Moraga vs Wilson Reis', 'Brad Tavares vs Krzysztof Jotko', 'Gilbert Burns vs Dan Moret', 'Lauren Mueller vs Shana Dobson', 'Yushin Okami vs Dhiego Lima', 'Adam Wieczorek vs Arjan Bhullar', 'Alejandro Perez vs Matthew Lopez', 'Luke Sanders vs Patrick Williams']","['Dustin Poirier', 'Alex Oliveira', 'Israel Adesanya', 'Michelle Waterson', 'Antonio Carlos Junior', 'Muslim Salikhov', 'John Moraga', 'Brad Tavares', 'Gilbert Burns', 'Lauren Mueller', 'Yushin Okami', 'Adam Wieczorek', 'Alejandro Perez', 'Luke Sanders']","['KO/TKO', 'SUB', 'S-DEC', 'S-DEC', 'SUB', 'KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'U-DEC', 'SUB', 'KO/TKO', 'U-DEC']","['4', '2', '3', '3', '1', '2', '3', '3', '2', '3', '3', '2', '2', '3']","['0:33', '3:17', '5:00', '5:00', '4:28', '4:12', '5:00', '2:16', '0:59', '5:00', '5:00', '1:59', '3:42', '5:00']"
67,UFC 223: Khabib vs. Iaquinta,"April 07, 2018","Brooklyn, New York, USA","['Khabib Nurmagomedov vs Al Iaquinta', 'Rose Namajunas vs Joanna Jedrzejczyk', 'Renato Moicano vs Calvin Kattar', 'Zabit Magomedsharipov vs Kyle Bochniak', 'Chris Gruetzemacher vs Joe Lauzon', 'Karolina Kowalkiewicz vs Felice Herrig', 'Olivier Aubin-Mercier vs Evan Dunham', 'Ashlee Evans-Smith vs Bec Rawlings', 'Devin Clark vs Mike Rodriguez']","['Khabib Nurmagomedov', 'Rose Namajunas', 'Renato Moicano', 'Zabit Magomedsharipov', 'Chris Gruetzemacher', 'Karolina Kowalkiewicz', 'Olivier Aubin-Mercier', 'Ashlee Evans-Smith', 'Devin Clark']","['U-DEC', 'U-DEC', 'U-DEC', 'U-DEC', 'KO/TKO', 'S-DEC', 'KO/TKO', 'U-DEC', 'U-DEC']","['5', '5', '3', '3', '2', '3', '1', '3', '3']","['5:00', '5:00', '5:00', '5:00', '5:00', '5:00', '0:53', '5:00', '5:00']"
68,UFC Fight Night: Werdum vs. Volkov,"March 17, 2018","London, England, United Kingdom","['Alexander Volkov vs Fabricio Werdum', 'Jan Blachowicz vs Jimi Manuwa', 'Tom Duquesnoy vs Terrion Ware', 'Leon Edwards vs Peter Sobotta', 'Charles Byrd vs John Phillips', 'Danny Roberts vs Oliver Enkamp', 'Danny Henry vs Hakeem Dawodu', 'Paul Craig vs Magomed Ankalaev', 'Kajan Johnson vs Stevie Ray', 'Dmitry Sosnovskiy vs Mark Godbeer']","['Alexander Volkov', 'Jan Blachowicz', 'Tom Duquesnoy', 'Leon Edwards', 'Charles Byrd', 'Danny Roberts', 'Danny Henry', 'Paul Craig', 'Kajan Johnson', 'Dmitry Sosnovskiy']","['KO/TKO', 'U-DEC', 'U-DEC', 'KO/TKO', 'SUB', 'KO/TKO', 'SUB', 'SUB', 'S-DEC', 'SUB']","['4', '3', '3', '3', '1', '1', '1', '3', '3', '2']","['1:38', '5:00', '5:00', '4:59', '3:58', '2:12', '0:39', '4:59', '5:00', '4:29']"
69,UFC 222: Cyborg vs. Kunitskaya,"March 03, 2018","Las Vegas, Nevada, USA","['Cris Cyborg vs Yana Kunitskaya', 'Brian Ortega vs Frankie Edgar', ""Sean O'Malley vs Andre Soukhamthath"", 'Andrei Arlovski vs Stefan Struve', 'Ketlen Vieira vs Cat Zingano', 'Mackenzie Dern vs Ashley Yoder', 'Alexander Hernandez vs Beneil Dariush', 'John Dodson vs Pedro Munhoz', 'CB Dollaway vs Hector Lombard', 'Zak Ottow vs Mike Pyle', 'Cody Stamann vs Bryan Caraway', 'Jordan Johnson vs Adam Milstead']","['Cris Cyborg', 'Brian Ortega', ""Sean O'Malley"", 'Andrei Arlovski', 'Ketlen Vieira', 'Mackenzie Dern', 'Alexander Hernandez', 'John Dodson', 'CB Dollaway', 'Zak Ottow', 'Cody Stamann', 'Jordan Johnson']","['KO/TKO', 'KO/TKO', 'U-DEC', 'U-DEC', 'S-DEC', 'S-DEC', 'KO/TKO', 'S-DEC', 'DQ', 'KO/TKO', 'S-DEC', 'S-DEC']","['1', '1', '3', '3', '3', '3', '1', '3', '1', '1', '3', '3']","['3:25', '4:44', '5:00', '5:00', '5:00', '5:00', '0:42', '5:00', '5:00', '2:34', '5:00', '5:00']"
70,UFC Fight Night: Emmett vs. Stephens,"February 24, 2018","Orlando, Florida, USA","['Jeremy Stephens vs Josh Emmett', 'Jessica Andrade vs Tecia Torres', 'Ilir Latifi vs Ovince Saint Preux', 'Max Griffin vs Mike Perry', 'Brian Kelleher vs Renan Barao', 'Marion Reneau vs Sara McMann', 'Angela Hill vs Maryna Moroz', 'Alan Jouban vs Ben Saunders', 'Sam Alvey vs Marcin Prachnio', 'Rani Yahya vs Russell Doane', 'Alex Perez vs Eric Shelton', 'Manny Bermudez vs Albert Morales']","['Jeremy Stephens', 'Jessica Andrade', 'Ilir Latifi', 'Max Griffin', 'Brian Kelleher', 'Marion Reneau', 'Angela Hill', 'Alan Jouban', 'Sam Alvey', 'Rani Yahya', 'Alex Perez', 'Manny Bermudez']","['KO/TKO', 'U-DEC', 'SUB', 'U-DEC', 'U-DEC', 'SUB', 'U-DEC', 'KO/TKO', 'KO/TKO', 'SUB', 'U-DEC', 'SUB']","['2', '3', '1', '3', '3', '2', '3', '2', '1', '3', '3', '2']","['1:35', '5:00', '3:48', '5:00', '5:00', '3:40', '5:00', '2:38', '4:23', '2:32', '5:00', '2:33']"
71,UFC Fight Night: Cerrone vs. Medeiros,"February 18, 2018","Austin, Texas, USA","['Donald Cerrone vs Yancy Medeiros', 'Derrick Lewis vs Marcin Tybura', 'James Vick vs Francisco Trinaldo', 'Curtis Millender vs Thiago Alves', 'Brandon Davis vs Steven Peterson', 'Sage Northcutt vs Thibault Gouti', 'Diego Ferreira vs Jared Gordon', 'Geoff Neal vs Brian Camozzi', 'Roberto Sanchez vs Joby Sanchez', 'Lucie Pudilova vs Sarah Moras', 'Alex Morono vs Joshua Burkman', 'Oskar Piechota vs Tim Williams']","['Donald Cerrone', 'Derrick Lewis', 'James Vick', 'Curtis Millender', 'Brandon Davis', 'Sage Northcutt', 'Diego Ferreira', 'Geoff Neal', 'Roberto Sanchez', 'Lucie Pudilova', 'Alex Morono', 'Oskar Piechota']","['KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'U-DEC', 'KO/TKO', 'SUB', 'SUB', 'U-DEC', 'SUB', 'KO/TKO']","['1', '3', '3', '2', '3', '3', '1', '1', '1', '3', '1', '1']","['4:58', '2:48', '5:00', '4:17', '5:00', '5:00', '1:58', '2:48', '1:50', '5:00', '2:12', '1:54']"
72,UFC 221: Romero vs. Rockhold,"February 10, 2018","Perth, Western Australia, Australia","['Yoel Romero vs Luke Rockhold', 'Curtis Blaydes vs Mark Hunt', 'Tai Tuivasa vs Cyril Asker', 'Jake Matthews vs Jingliang Li', 'Tyson Pedro vs Saparbeg Safarov', 'Dong Hyun Ma vs Damien Brown', 'Israel Adesanya vs Rob Wilkinson', 'Alexander Volkanovski vs Jeremy Kennedy', 'Jussier Formiga vs Ben Nguyen', 'Ross Pearson vs Mizuto Hirota', 'Jose Quinonez vs Teruto Ishihara', 'Luke Jumeau vs Daichi Abe']","['Yoel Romero', 'Curtis Blaydes', 'Tai Tuivasa', 'Jake Matthews', 'Tyson Pedro', 'Dong Hyun Ma', 'Israel Adesanya', 'Alexander Volkanovski', 'Jussier Formiga', 'Ross Pearson', 'Jose Quinonez', 'Luke Jumeau']","['KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'SUB', 'S-DEC', 'KO/TKO', 'KO/TKO', 'SUB', 'U-DEC', 'U-DEC', 'U-DEC']","['3', '3', '1', '3', '1', '3', '2', '2', '3', '3', '3', '3']","['1:48', '5:00', '2:18', '5:00', '3:54', '5:00', '3:37', '4:57', '1:43', '5:00', '5:00', '5:00']"
73,UFC Fight Night: Machida vs. Anders,"February 03, 2018","Belem, Para, Brazil","['Lyoto Machida vs Eryk Anders', 'Valentina Shevchenko vs Priscila Cachoeira', 'Michel Prazeres vs Desmond Green', 'Tim Johnson vs Marcelo Golm', 'Douglas Silva de Andrade vs Marlon Vera', 'Thiago Santos vs Anthony Smith', 'Sergio Moraes vs Tim Means', 'Alan Patrick vs Damir Hadzovic', 'Polyana Viana vs Maia Stevenson', 'Iuri Alcantara vs Joe Soto', 'Deiveson Figueiredo vs Joseph Morales']","['Lyoto Machida', 'Valentina Shevchenko', 'Michel Prazeres', 'Tim Johnson', 'Douglas Silva de Andrade', 'Thiago Santos', 'Sergio Moraes', 'Alan Patrick', 'Polyana Viana', 'Iuri Alcantara', 'Deiveson Figueiredo']","['S-DEC', 'SUB', 'U-DEC', 'U-DEC', 'U-DEC', 'KO/TKO', 'S-DEC', 'U-DEC', 'SUB', 'KO/TKO', 'KO/TKO']","['5', '2', '3', '3', '3', '2', '3', '3', '1', '1', '2']","['5:00', '4:25', '5:00', '5:00', '5:00', '1:03', '5:00', '5:00', '3:50', '1:06', '4:34']"
74,UFC Fight Night: Jacare vs. Brunson 2,"January 27, 2018","Charlotte, North Carolina, USA","['Jacare Souza vs Derek Brunson', 'Andre Fili vs Dennis Bermudez', 'Gregor Gillespie vs Jordan Rinaldi', 'Drew Dober vs Frank Camacho', 'Bobby Green vs Erik Koch', 'Mirsad Bektic vs Godofredo Pepey', 'Katlyn Chookagian vs Mara Romero Borella', 'Randa Markos vs Juliana Lima', 'Ji Yeon Kim vs Justine Kish', 'Vinc Pichel vs Joaquim Silva', 'Niko Price vs George Sullivan', 'Cory Sandhagen vs Austin Arnett']","['Jacare Souza', 'Andre Fili', 'Gregor Gillespie', 'Drew Dober', 'Bobby Green', 'Mirsad Bektic', 'Katlyn Chookagian', 'Randa Markos', 'Ji Yeon Kim', 'Vinc Pichel', 'Niko Price', 'Cory Sandhagen']","['KO/TKO', 'S-DEC', 'KO/TKO', 'U-DEC', 'U-DEC', 'KO/TKO', 'U-DEC', 'U-DEC', 'S-DEC', 'U-DEC', 'SUB', 'KO/TKO']","['1', '3', '1', '3', '3', '1', '3', '3', '3', '3', '2', '2']","['3:50', '5:00', '4:46', '5:00', '5:00', '2:47', '5:00', '5:00', '5:00', '5:00', '4:21', '3:48']"
75,UFC 220: Miocic vs. Ngannou,"January 20, 2018","Boston, Massachusetts, USA","['Stipe Miocic vs Francis Ngannou', 'Daniel Cormier vs Volkan Oezdemir', 'Calvin Kattar vs Shane Burgos', 'Gian Villante vs Francimar Barroso', 'Rob Font vs Thomas Almeida', 'Kyle Bochniak vs Brandon Davis', 'Abdul Razak Alhassan vs Sabah Homasi', 'Dustin Ortiz vs Alexandre Pantoja', 'Julio Arce vs Dan Ige', 'Enrique Barzola vs Matt Bessette', 'Islam Makhachev vs Gleison Tibau']","['Stipe Miocic', 'Daniel Cormier', 'Calvin Kattar', 'Gian Villante', 'Rob Font', 'Kyle Bochniak', 'Abdul Razak Alhassan', 'Dustin Ortiz', 'Julio Arce', 'Enrique Barzola', 'Islam Makhachev']","['U-DEC', 'KO/TKO', 'KO/TKO', 'S-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'U-DEC', 'U-DEC', 'KO/TKO']","['5', '2', '3', '3', '2', '3', '1', '3', '3', '3', '1']","['5:00', '2:00', '0:32', '5:00', '2:24', '5:00', '3:47', '5:00', '5:00', '5:00', '0:57']"
76,UFC Fight Night: Stephens vs. Choi,"January 14, 2018","St. Louis, Missouri, USA","['Jeremy Stephens vs Dooho Choi', 'Jessica-Rose Clark vs Paige VanZant', 'Kamaru Usman vs Emil Meek', 'Darren Elkins vs Michael Johnson', 'James Krause vs Alex White', 'Polo Reyes vs Matt Frevola', 'Irene Aldana vs Talita Bernardo', 'Kyung Ho Kang vs Guido Cannetti', 'Jessica Eye vs Kalindra Faria', 'JJ Aldrich vs Danielle Taylor', 'Mads Burnell vs Mike Santiago']","['Jeremy Stephens', 'Jessica-Rose Clark', 'Kamaru Usman', 'Darren Elkins', 'James Krause', 'Polo Reyes', 'Irene Aldana', 'Kyung Ho Kang', 'Jessica Eye', 'JJ Aldrich', 'Mads Burnell']","['KO/TKO', 'U-DEC', 'U-DEC', 'SUB', 'U-DEC', 'KO/TKO', 'U-DEC', 'SUB', 'S-DEC', 'U-DEC', 'U-DEC']","['2', '3', '3', '2', '3', '1', '3', '1', '3', '3', '3']","['2:36', '5:00', '5:00', '2:22', '5:00', '1:00', '5:00', '4:53', '5:00', '5:00', '5:00']"
77,UFC 219: Cyborg vs. Holm,"December 30, 2017","Las Vegas, Nevada, USA","['Cris Cyborg vs Holly Holm', 'Khabib Nurmagomedov vs Edson Barboza', 'Dan Hooker vs Marc Diakiese', 'Carla Esparza vs Cynthia Calvillo', 'Neil Magny vs Carlos Condit', 'Khalil Rountree Jr. vs Michal Oleksiejczuk', 'Myles Jury vs Rick Glenn', 'Marvin Vettori vs Omari Akhmedov', 'Matheus Nicolau vs Louis Smolka', 'Tim Elliott vs Mark De La Rosa']","['Cris Cyborg', 'Khabib Nurmagomedov', 'Dan Hooker', 'Carla Esparza', 'Neil Magny', 'Khalil Rountree Jr.', 'Myles Jury', 'Marvin Vettori', 'Matheus Nicolau', 'Tim Elliott']","['U-DEC', 'U-DEC', 'SUB', 'U-DEC', 'U-DEC', 'U-DEC', 'U-DEC', 'M-DEC', 'U-DEC', 'SUB']","['5', '3', '3', '3', '3', '3', '3', '3', '3', '2']","['5:00', '5:00', '0:42', '5:00', '5:00', '5:00', '5:00', '5:00', '5:00', '1:41']"
78,UFC Fight Night: Lawler vs. Dos Anjos,"December 16, 2017","Winnipeg, Manitoba, Canada","['Rafael Dos Anjos vs Robbie Lawler', 'Josh Emmett vs Ricardo Lamas', 'Santiago Ponzinibbio vs Mike Perry', 'Glover Teixeira vs Misha Cirkunov', 'Jan Blachowicz vs Jared Cannonier', 'Julian Marquez vs Darren Stewart', 'Chad Laprise vs Galore Bofando', 'Nordine Taleb vs Danny Roberts', 'John Makdessi vs Abel Trujillo', 'Alessio Di Chirico vs Oluwale Bamgbose', 'Jordan Mein vs Erick Silva']","['Rafael Dos Anjos', 'Josh Emmett', 'Santiago Ponzinibbio', 'Glover Teixeira', 'Jan Blachowicz', 'Julian Marquez', 'Chad Laprise', 'Nordine Taleb', 'John Makdessi', 'Alessio Di Chirico', 'Jordan Mein']","['U-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC']","['5', '1', '3', '1', '3', '2', '1', '1', '3', '2', '3']","['5:00', '4:33', '5:00', '2:45', '5:00', '2:42', '4:10', '0:59', '5:00', '2:14', '5:00']"
79,UFC Fight Night: Swanson vs. Ortega,"December 09, 2017","Fresno, California, USA","['Brian Ortega vs Cub Swanson', 'Gabriel Benitez vs Jason Knight', 'Marlon Moraes vs Aljamain Sterling', 'Scott Holtzman vs Darrell Horcher', 'Eryk Anders vs Markus Perez', 'Benito Lopez vs Albert Morales', 'Alexis Davis vs Liz Carmouche', 'Andre Soukhamthath vs Luke Sanders', 'Alex Perez vs Carls John De Tomas', 'Frankie Saenz vs Merab Dvalishvili', 'Alejandro Perez vs Iuri Alcantara', 'Davi Ramos vs Chris Gruetzemacher', 'Trevin Giles vs Antonio Braga Neto']","['Brian Ortega', 'Gabriel Benitez', 'Marlon Moraes', 'Scott Holtzman', 'Eryk Anders', 'Benito Lopez', 'Alexis Davis', 'Andre Soukhamthath', 'Alex Perez', 'Frankie Saenz', 'Alejandro Perez', 'Davi Ramos', 'Trevin Giles']","['SUB', 'U-DEC', 'KO/TKO', 'U-DEC', 'U-DEC', 'U-DEC', 'S-DEC', 'KO/TKO', 'SUB', 'S-DEC', 'U-DEC', 'SUB', 'KO/TKO']","['2', '3', '1', '3', '3', '3', '3', '2', '2', '3', '3', '3', '3']","['3:22', '5:00', '1:07', '5:00', '5:00', '5:00', '5:00', '1:06', '1:54', '5:00', '5:00', '0:50', '2:27']"
